Last login: Mon Jul  7 12:22:19 on console
es@lviv ~ % last shutdown
wtmp begins Fri Nov  8 19:37:44 EET 2024
es@lviv ~ % log show --predicate 'eventMessage contains "shutdown"' --info --last 7d
Filtering the log data using "composedMessage CONTAINS "shutdown""
Skipping debug messages, pass --debug to include.
Timestamp                       Thread     Type        Activity             PID    TTL  
2025-06-30 12:43:40.637567+0300 0x10e343b  Default     0x0                  56600  7    corecaptured: (CoreCaptureDaemon) [com.apple.corecaptured:corecapture] CCDaemon::activityCheck monitor NOT active, shutdown
2025-06-30 12:43:40.637568+0300 0x10e343b  Default     0x0                  56600  7    corecaptured: (CoreCaptureDaemon) [com.apple.corecaptured:corecapture] CCDaemon::shutdown is fired
2025-06-30 21:10:42.991049+0300 0x112abb3  Default     0x0                  1913   0    VDCAssistant: [com.apple.VDCAssistant:default] Window Server Is Connected After shutdown connections 0
2025-07-01 11:20:50.028584+0300 0x1134c55  Default     0x0                  59871  7    corecaptured: (CoreCaptureDaemon) [com.apple.corecaptured:corecapture] CCDaemon::activityCheck monitor NOT active, shutdown
2025-07-01 11:20:50.028585+0300 0x1134c55  Default     0x0                  59871  7    corecaptured: (CoreCaptureDaemon) [com.apple.corecaptured:corecapture] CCDaemon::shutdown is fired
2025-07-01 12:56:51.661677+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController shutdownIfPossible]:390 BT ready, processing shutdown check
2025-07-01 12:56:51.661858+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController _shutdownIfPossible]_block_invoke:435 heard should be running. Continuing
2025-07-01 12:59:51.667015+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController shutdownIfPossible]:390 BT ready, processing shutdown check
2025-07-01 12:59:51.667171+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController _shutdownIfPossible]_block_invoke:435 heard should be running. Continuing
2025-07-01 13:02:51.669095+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController shutdownIfPossible]:390 BT ready, processing shutdown check
2025-07-01 13:02:51.669779+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController _shutdownIfPossible]_block_invoke:435 heard should be running. Continuing
2025-07-01 13:05:49.450442+0300 0x11452e9  Default     0x0                  60758  0    mdmclient: (ApplePushService) [com.apple.apsd:connection] Connection successfully flushed during shutdown
2025-07-01 13:05:49.453560+0300 0x11452e9  Default     0x0                  60758  0    mdmclient: (ApplePushService) [com.apple.apsd:connection] Connection successfully flushed during shutdown
2025-07-01 13:05:51.672381+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController shutdownIfPossible]:390 BT ready, processing shutdown check
2025-07-01 13:05:51.672886+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController _shutdownIfPossible]_block_invoke:435 heard should be running. Continuing
2025-07-01 13:05:54.781628+0300 0x11452ea  Default     0x0                  60758  0    mdmclient: (ApplePushService) [com.apple.apsd:connection] <private> _shutdownFromDealloc
2025-07-01 13:05:54.781628+0300 0x11452ed  Default     0x0                  60758  0    mdmclient: (ApplePushService) [com.apple.apsd:connection] <private> _shutdownFromDealloc
2025-07-01 13:08:51.582829+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController shutdownIfPossible]:390 BT ready, processing shutdown check
2025-07-01 13:08:51.582948+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController _shutdownIfPossible]_block_invoke:435 heard should be running. Continuing
2025-07-01 13:11:51.586481+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController shutdownIfPossible]:390 BT ready, processing shutdown check
2025-07-01 13:11:51.586629+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController _shutdownIfPossible]_block_invoke:435 heard should be running. Continuing
2025-07-01 13:14:51.591503+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController shutdownIfPossible]:390 BT ready, processing shutdown check
2025-07-01 13:14:51.591700+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController _shutdownIfPossible]_block_invoke:435 heard should be running. Continuing
2025-07-01 13:17:51.594330+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController shutdownIfPossible]:390 BT ready, processing shutdown check
2025-07-01 13:17:51.594527+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController _shutdownIfPossible]_block_invoke:435 heard should be running. Continuing
2025-07-01 13:20:51.598935+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController shutdownIfPossible]:390 BT ready, processing shutdown check
2025-07-01 13:20:51.599125+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController _shutdownIfPossible]_block_invoke:435 heard should be running. Continuing
2025-07-01 13:23:51.603570+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController shutdownIfPossible]:390 BT ready, processing shutdown check
2025-07-01 13:23:51.603781+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController _shutdownIfPossible]_block_invoke:435 heard should be running. Continuing
2025-07-01 13:26:51.606680+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController shutdownIfPossible]:390 BT ready, processing shutdown check
2025-07-01 13:26:51.606816+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController _shutdownIfPossible]_block_invoke:435 heard should be running. Continuing
2025-07-01 13:29:51.609680+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController shutdownIfPossible]:390 BT ready, processing shutdown check
2025-07-01 13:29:51.609886+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController _shutdownIfPossible]_block_invoke:435 heard should be running. Continuing
2025-07-01 13:32:51.614664+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController shutdownIfPossible]:390 BT ready, processing shutdown check
2025-07-01 13:32:51.614870+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController _shutdownIfPossible]_block_invoke:435 heard should be running. Continuing
2025-07-01 13:35:51.619283+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController shutdownIfPossible]:390 BT ready, processing shutdown check
2025-07-01 13:35:51.619513+0300 0x1133480  Default     0x0                  59980  0    heard: (HearingUtilities) [com.apple.Hearing:HearingAids] -[AXHeardController _shutdownIfPossible]_block_invoke:435 heard should be running. Continuing
